pno,spoolno,title,filename,duration,txdate,english,welsh,subject,keystage,description,keywords,epid
PCES012R,WG18978,ANELU AT RAGORIAETH: Datblygu Sgiliau Meddwl 1,hwb_anelumeddwl_pces012r,30:0,3 Sep 2006,,Welsh,ALL,KS3 ,Programme for teachers and policy makers looking at developing thinking skills throughout the curriculum,NOT CLIPPED,NO PID
PEAL086P,WG25250,THE REAL WORLD:3:RURAL POVERTY,hwb_ruralpoverty_peal086p,30:0,7/18/00,Eng,,GEOGRAPHY HISTORY,KS3 KS4,Jamie Owen examines the lack of job opportunities causing rural poverty in Blaenau Ffestiniog.,"Economic activity, Urban regeneration,  Industrial Wales and Britain,Industrial decline, Slate industry, Traditional industry, Tourism, Blaenau Ffestiniog,  Industrial heritage, ",p00fgspm
PEAL087J,WG10220,THE REAL WORLD:5:TOURISM.,hwb_tourism_peal087j,30:0,8 Jan 2000,Eng,,GEOGRAPHY,KS3 KS4,Jamie Owen studies the pleasures and pitfalls of the tourist trade as they affect the Welsh economy,"Economic activity,Tourism, Primary industry, Pembrokeshire, Tertiary sector,Service industry, Oakwood Park, Seasonal employment, Farm diversification, Changing nature of tourism, Seasonal employment, Objective One, Unemployment, Human geography, Changing characteristics of economic activities,  Saundersfoot, Seasonal employment, Weekend trippers,",p00fgsps
PEAS020J,WG25332,WEEK IN WEEK OUT:WHAT A WASTE,hwb_whatawaste_peas020j,29:23,3 Jul 2006,Eng,,GEOGRAPHY,KS2 KS3 KS4,"Every year Wales buries 400 million tonnes of rubbish. 75% of what we bury is recyclable, and by 2010 every Welsh authority hopes to cut the amount we bury by 40%. How easy is it to be green in Wales?","Environmental issues, Recycling, Waste management, Domestic recycling, Newport, Sustainable development, Environment, Human geography, ESD,Landfill sites, Sustainability,Energy from waste, Crumlin Burrows, Waste Incineration Plant, Electricity production",p00fgsry
PEAT003B,WG19443,WEEK IN WEEK OUT:WILDER WALES,hwb_wilderwales_peat003b,29:29,5/23/06,Eng,,GEOGRAPHY,KS3 KS4,"Wales is getting warmer, experiencing longer, hotter summers and milder winters. Scientists predict a heavy price to pay in flood, storm, drought and heatwave. Is Wales ready for wilder weathers?

","Climate change, Environmental issues, Wildlife, Farming, Agriculture, Marine life, Rivers, Global warming, Habitats, Habitat changes,Tourism, Economic activity,Tourism management, Snowdonia National park, Leisure activities, Walking, Sustainable tourism, Waste management, Environment, Floods, Conwy Valley,Drought",p00fgss7
PEEN002J ,WG13317,AIMING FOR EXCELLENCE:1:LITERACY,hwb_aimingliteracy_peen002j,28:51,3/24/03,Eng,,LITERACY,KS3,Programme for teachers and policy makers looking at literacy and highlighting examples of good practise in schools throughout Wales. It offers an opportunity for teachers to share in and learn from the experiences of others.,NOT CLIPPED,NO PID
PEEN061L ,WG13356,AIMING FOR EXCELLENCE:2:NUMERACY.,hwb_aimingnumeracy_peen061l,28:46,3/31/03,Eng,,NUMERACY,KS3,Programme for teachers and policy makers looking at numeracy and highlighting examples of good practise in schools throughout Wales. It offers an opportunity for teachers to share in and learn from the experiences of others.,NOT CLIPPED,NO PID
PEEP028P,WG15232 ,AIMING FOR EXCELLENCE:ICT.,hwb_aimingict_peep028p,29:17,3/22/04,Eng,,ICT,KS3,"New series of a programme for schools. In this programme, tips for improving pupils' ICT skills. ",NOT CLIPPED,NO PID
PEER012S ,WG22306,WORLD RELIGIONS:JUDAISM..,hwb_religionsjudaism_peer012s,14:05,1/24/05,Eng,,"RE, PHSE",KS2 KS3,"Exploring one of the four main world religions as it is lived and practised in Wales. Focussing on understanding and respecting other cultures, the programme gives an insight into the lives of children who are being raised in Judaism.","NOT CLIPPED; SUGGEST  Religion, History of religion, Judaism, Jewishness,Meaning and purpose of life, religious experience, Search for meaning, Worship in Wales",NO PID
PEER013L ,WG16671,WORLD RELIGIONS:CHRISTIANITY,hwb_religionschristian_peer013l,14:03,1/24/05,Eng,,"RE, PHSE",KS2 KS3,"Exploring one of the four main world religions as it is lived and practised in Wales. Focussing on understanding and respecting other cultures, the programme gives an insight into the lives of children who are being raised in Christian households..","NOT CLIPPED; SUGGEST  Religion, History of religion, Christianity, Worship in Wales,Meaning and purpose of life, religious experience, Search for meaning",NO PID
PEER014F ,WG16684,WORLD RELIGIONS:ISLAM.,hwb_religionsislam_peer014f,14:02,1/31/05,Eng,,"RE, PHSE",KS2 KS3,"Exploring one of the four main world religions as it is lived and practised in Wales. Focussing on understanding and respecting other cultures , the programme gives an insight into the lives of children who are being brought up in a Muslim family.","NOT CLIPPED; SUGGEST  Religion, History of religion, Islam, Muslim, Worship in Wales,Meaning and purpose of life, religious experience, Search for meaning",NO PID
PEER015A ,WG22307,WORLD RELIGIONS:SIKHISM.,hwb_religionssikh_peer015a,14:03,1/31/05,Eng,,"RE, PHSE",KS2 KS3,"Exploring one of the four main world religions as it is lived and practised in Wales. Focussing on understanding and respecting other cultures , the programme gives an insight into the lives of children raised in Sikh families.","NOT CLIPPED; SUGGEST  Religion, History of religion,Sikhism, Worship in Wales,Meaning and purpose of life, religious experience, Search for meaning",NO PID
PEER029S  ,WG16622,A VISIT TO BOTANIC GARDEN:CARDIFF BAY   ,hwb_visittobotanicgarden_peer029s,13:59,1/17/05,Eng,,GEOGRAPHY HISTORY,KS2,"Eleri Sion finds out how the Great Glasshouse at the National Botanic Gardens is kept at the right temperature without adding to global warming. Then the Research Squad head for Cardiff Bay, where they learn about the history of the docks, visit the Cardiff Bay Barrage and take a peek inside the Millennium Centre.","Economic activity, Cardiff Bay, National Botanic Gardens of Wales,Urban regeneration, Industrial Wales and Britain, Tourism,Coal industry, Primary industry, Tiger Bay, Cardiff docks, Industrial heritage,Energy, Environmental issues,Botanical Garden, Sustainable energy, Biomass, Renewable energy, Environment,  twentieth century world, Coal industry, Leisure industry, Economic regeneration, Urban renewal,",p00fgscb
PEER034N ,WG16287  ,AIMING FOR EXCELLENCE:TRANSITION.,hwb_aimingtransition_peer034n,29:15,11/23/04,Eng,,ALL,KS2 KS3,"Programme aims to provide guidance to teachers and school policymakers on how to support pupils' transition from KS2 to KS3. It exemplifies successful transition based on continuity and progression, and looks at examples of best practise from primary and secondary schools in building up and maintaining momentum across KS2 and KS3.",NOT CLIPPED,NO PID
PEES036F ,WG19077,AIMING FOR EXCELLENCE:DEVELOPING THINKING:1,hwb_aimingthinking1_pees036f,28:59,3/23/06,Eng,,ALL,KS3 ,Programme for teachers and policy makers looking at developing thinking skills throughout the curriculum,NOT CLIPPED,NO PID
PEES037A ,WG19079,AIMING FOR EXCELLENCE:DEVELOPING THINKING:2,hwb_aimingthinking2_pees037a,29:10,3/30/06,Eng,,ALL,KS3 ,Programme for teachers and policy makers looking at developing thinking skills throughout the curriculum,NOT CLIPPED,NO PID
PEET034K,WG1323,WILD ABOUT NATURE 1,hwb_wildaboutnature_peeto34k,19:37,3 Jun 2007,Eng,,SCIENCE,"KS1, KS2","Iolo Williams demonstrates how to find out more about wildlife in Wales, taking a look at bats, damselflies and snakes.

","Life processes and living things, Living things, bats, bat nesting, snakes, adders, grass-snakes",b007j110
PEET035E,WG1841,WILD ABOUT NATURE 2,hwb_wildaboutnature_peeto35e,19:06,3/13/07,Eng,,SCIENCE,"KS1, KS2","Iolo Williams traces the amazing journeys that birds and animals take every year. He searches for dolphins off the Pembrokeshire coast and follows the remarkable migration of the swallow from Europe to South Africa.

","Life processes and living things, Independence and interdependence of organisms, Sealife, Migration, Adaptation, Swallows, Birds,  Kingfisher, Burrow, Riverbank, Food web",b007j117
PEET036Y,WG2075,WILD ABOUT NATURE 3,hwb_wildaboutnature_peeto36y,19:22,3/20/07,Eng,,SCIENCE,"KS1, KS2","Iolo Williams looks at how inventive animals and birds can be in building nests and dens. Also featured is some amazing close-up film of a badger set.

","Life processes and living things, Living things, Seabirds, Guillemots, Water vole, Endangered species, Natural habitat, Habitats, Birds, Living things in their environment, Badgers, Woodland habitat, Nocturnal animals,Salmon, Rivers, River habitats, seals, Dormouse, Mammals, Moorhens",b007mvrt
PEET037S,WG2717,WILD ABOUT NATURE 4,hwb_wildaboutnature_peeto37s,20:00,3/27/07,Eng,,SCIENCE,"KS1, KS2","Iolo Williams looks at what we can do to help wildlife. He describes the successful conservation of the red kite in Wales and the work being done to save the red squirrel.

","Life processes and living things, Independence and interdependence of organisms,Birds, Red Kite, Conservation, Red Squirrels, Grey Squirrels",b007j11r
WEEA035S ,WG28006,SNOWDONIA 1890 UNCOVERED:1,hwb_snowdoniauncovered1_weea035s,28:54,10/25/10,Eng,,HISTORY,"KS2, KS3","Uncover the historical facts behind Snowdonia 1890 as presenters Carys Davies and Kyle Lima delve into the archives, examine the evidence, question the experts and learn more about daily lives in the nineteenth century. Find out who really lived in the Snowdonia farmhouse in 1891, and why washing day was not for the faint hearted","NOT CLIPPED ;  SUGGEST     Industrial Wales and Britain, Snowdonia, Slate Industry, Farming, Agriculture, History of agriculture, History of the Welsh Language, History reality TV,  ",b00vn2rz
WEEA036L   ,WG28131,SNOWDONIA 1890 UNCOVERED:2.,hwb_snowdoniauncovered2_weea036l,28:53,11 Feb 2010,Eng,,HISTORY,"KS2, KS3","Uncover the historical facts behind Snowdonia 1890 as presenters Carys Davies and Kyle Lima delve into the archives, examine the evidence, question the experts and learn more about daily lives in the nineteenth century.  As Kyle gets a taste of tough school discipline, Carys finds out how dangerous work at the slate quarry could be.
","NOT CLIPPED ;   SUGGEST    Industrial Wales and Britain, Snowdonia, Slate Industry, Farming, Agriculture, History of agriculture, History of the Welsh Language, History reality TV,  ",b00vtzgd
PCNS013N,,TARO NAW:NEW ORLEANS.,hwb_neworleans_pcns013n,26:56,3/14/06,,Welsh,GEOGRAPHY,KS2 KS3 KS4,"Six months after Hurricane Katrina devastated New Orleans, Aled Huw returns to the city to examine the rebuilding process and to question whether president George Bush's promises of support are being carried out.","Hurricanes, Hurricane Katrina, Global warming, Natural disasters, Climate, Climate change, New Orleans, Gulf of Mexico",NO PID
